vbs_poa1  , primary organic aerosol 1                                       , ug/m3, R                    ,           ,  1.5e3    ,    0.1   , vbs                 , vbs vbs_soa aerosol fine_modes vbs_poa
vbs_poa2  , primary organic aerosol 2                                       , ug/m3, R                    ,           ,  1.5e3    ,    0.1   , vbs                 , vbs vbs_soa aerosol fine_modes vbs_poa
vbs_poa3  , primary organic aerosol 3                                       , ug/m3, R                    ,           ,  1.5e3    ,    0.1   , vbs                 , vbs vbs_soa aerosol fine_modes vbs_poa
vbs_poa4  , primary organic aerosol 4                                       , ug/m3, R                    ,           ,  1.5e3    ,    0.1   , vbs                 , vbs vbs_soa aerosol fine_modes vbs_poa
vbs_poa5  , primary organic aerosol 5                                       , ug/m3, R                    ,           ,  1.5e3    ,    0.1   , vbs                 , vbs vbs_soa aerosol fine_modes vbs_poa
vbs_poa6  , primary organic aerosol 6                                       , ug/m3, R                    ,           ,  1.5e3    ,    0.1   , vbs                 , vbs vbs_soa aerosol fine_modes vbs_poa
vbs_poa7  , primary organic aerosol 7                                       , ug/m3, R                    ,           ,  1.5e3    ,    0.1   , vbs                 , vbs vbs_soa aerosol fine_modes vbs_poa
vbs_poa8  , primary organic aerosol 8                                       , ug/m3, R                    ,           ,  1.5e3    ,    0.1   , vbs                 , vbs vbs_soa aerosol fine_modes vbs_poa
vbs_poa9  , primary organic aerosol 9                                       , ug/m3, R                    ,           ,  1.5e3    ,    0.1   , vbs                 , vbs vbs_soa aerosol fine_modes vbs_poa

vbs_sisoa1, secondary organic aerosol from SIVOC 1                          , ug/m3, R                    ,           ,  1.5e3    ,    0.1   , vbs                 , vbs vbs_soa aerosol fine_modes vbs_sisoa
vbs_sisoa2, secondary organic aerosol from SIVOC 2                          , ug/m3, R                    ,           ,  1.5e3    ,    0.1   , vbs                 , vbs vbs_soa aerosol fine_modes vbs_sisoa
vbs_sisoa3, secondary organic aerosol from SIVOC 3                          , ug/m3, R                    ,           ,  1.5e3    ,    0.1   , vbs                 , vbs vbs_soa aerosol fine_modes vbs_sisoa
vbs_sisoa4, secondary organic aerosol from SIVOC 4                          , ug/m3, R                    ,           ,  1.5e3    ,    0.1   , vbs                 , vbs vbs_soa aerosol fine_modes vbs_sisoa
vbs_sisoa5, secondary organic aerosol from SIVOC 5                          , ug/m3, R                    ,           ,  1.5e3    ,    0.1   , vbs                 , vbs vbs_soa aerosol fine_modes vbs_sisoa
vbs_sisoa6, secondary organic aerosol from SIVOC 6                          , ug/m3, R                    ,           ,  1.5e3    ,    0.1   , vbs                 , vbs vbs_soa aerosol fine_modes vbs_sisoa
vbs_sisoa7, secondary organic aerosol from SIVOC 7                          , ug/m3, R                    ,           ,  1.5e3    ,    0.1   , vbs                 , vbs vbs_soa aerosol fine_modes vbs_sisoa
vbs_sisoa8, secondary organic aerosol from SIVOC 8                          , ug/m3, R                    ,           ,  1.5e3    ,    0.1   , vbs                 , vbs vbs_soa aerosol fine_modes vbs_sisoa

vbs_asoa1 , secondary org. aerosol from aVOC 1                              , ug/m3, R                    ,           ,  1.5e3    ,    0.1   , vbs                 , vbs vbs_soa aerosol fine_modes vbs_asoa
vbs_asoa2 , secondary org. aerosol from aVOC 2                              , ug/m3, R                    ,           ,  1.5e3    ,    0.1   , vbs                 , vbs vbs_soa aerosol fine_modes vbs_asoa
vbs_asoa3 , secondary org. aerosol from aVOC 3                              , ug/m3, R                    ,           ,  1.5e3    ,    0.1   , vbs                 , vbs vbs_soa aerosol fine_modes vbs_asoa
vbs_asoa4 , secondary org. aerosol from aVOC 4                              , ug/m3, R                    ,           ,  1.5e3    ,    0.1   , vbs                 , vbs vbs_soa aerosol fine_modes vbs_asoa
vbs_asoa5 , secondary org. aerosol from aVOC 5                              , ug/m3, R                    ,           ,  1.5e3    ,    0.1   , vbs                 , vbs vbs_soa aerosol fine_modes vbs_asoa
vbs_asoa6 , secondary org. aerosol from aVOC 6                              , ug/m3, R                    ,           ,  1.5e3    ,    0.1   , vbs                 , vbs vbs_soa aerosol fine_modes vbs_asoa

vbs_bsoa1 , secondary org. aerosol from bVOC 1                              , ug/m3, R                    ,           ,  1.5e3    ,    0.1   , vbs                 , vbs vbs_soa aerosol fine_modes vbs_bsoa
vbs_bsoa2 , secondary org. aerosol from bVOC 2                              , ug/m3, R                    ,           ,  1.5e3    ,    0.1   , vbs                 , vbs vbs_soa aerosol fine_modes vbs_bsoa
vbs_bsoa3 , secondary org. aerosol from bVOC 3                              , ug/m3, R                    ,           ,  1.5e3    ,    0.1   , vbs                 , vbs vbs_soa aerosol fine_modes vbs_bsoa
vbs_bsoa4 , secondary org. aerosol from bVOC 4                              , ug/m3, R                    ,           ,  1.5e3    ,    0.1   , vbs                 , vbs vbs_soa aerosol fine_modes vbs_bsoa
vbs_bsoa5 , secondary org. aerosol from bVOC 5                              , ug/m3, R                    ,           ,  1.5e3    ,    0.1   , vbs                 , vbs vbs_soa aerosol fine_modes vbs_bsoa
vbs_bsoa6 , secondary org. aerosol from bVOC 6                              , ug/m3, R                    ,           ,  1.5e3    ,    0.1   , vbs                 , vbs vbs_soa aerosol fine_modes vbs_bsoa

#
# heavy metals
#
Pb_f    , lead aerosol fine mode                                            , ug/m3, Pb                   ,           ,           ,          , hm                  , hm aerosol fine_modes
Pb_c    , lead aerosol coarse mode                                          , ug/m3, Pb                   ,           ,           ,          , hm                  , hm aerosol coarse_mode
Cd_f    , cadmium aerosol fine mode                                         , ug/m3, Cd                   ,           ,           ,          , hm                  , hm aerosol fine_modes
Cd_c    , cadmium aerosol coarse mode                                       , ug/m3, Cd                   ,           ,           ,          , hm                  , hm aerosol coarse_mode

#
# CB99 tracers, indices are sometimes used in the code
#
O       , Oxygen atom in the O3(P) electronic state                         , ppb  ,  R                   ,           ,           ,          , cb99                , 
O1D     , Oxygen atom in the O1(D) electronic state                         , ppb  ,  R                   ,           ,           ,          , cb99                , 
PNA     , Peroxynitric acid (HNO4)                                          , ppb  ,  H + N + O 4         ,           ,           ,          , cb99                , 
ALD2    , Acetaldehyde                                                      , ppb  ,  C + R               ,           ,           ,          , cb99                , 
ALDX    , Propionaldehyde and higher aldehydes                              , ppb  ,  C 2 + R             ,           ,           ,          , cb99                , 
CXO3    , C3 and higher acylperoxy radicals                                 , ppb  ,  C 2 + R             ,           ,           ,          , cb99                , 
PANX    , C3 and higher peroxyacyl nitrates                                 , ppb  ,  C 2 + N + R         ,           ,           ,          , cb99                , 
NTR     , Organic nitrate (RNO3)                                            , ppb  ,  R + N + O 3         ,           ,           ,          , cb99                , 
ETOH    , Ethanol                                                           , ppb  ,  C 2 + H 6 + O       ,           ,           ,          , cb99                , 
MEO2    , Methylperoxy radical                                              , ppb  ,  C + R               ,           ,           ,          , cb99                , 
MEOH    , Methanol                                                          , ppb  ,  C + H 4 + O         ,           ,           ,          , cb99                , 
MEPX    , Methylhydroperoxide                                               , ppb  ,  C + R               ,           ,           ,          , cb99                , 
FACD    , Formic acid                                                       , ppb  ,  C + R               ,           ,           ,          , cb99                , 
ETHA    , Ethane                                                            , ppb  ,  C 2 + R             ,           ,           ,          , cb99                , 
ROOH    , Higher organic peroxide                                           , ppb  ,  C + R               ,           ,           ,          , cb99                , 
AACD    , Acetic and higher carboxylic acids                                , ppb  ,  C 2 + R             ,           ,           ,          , cb99                , 
PACD    , Peroxyacetic and higher peroxycarboxylic acids                    , ppb  ,  C 2 + R             ,           ,           ,          , cb99                , 
ROR     , Secondary alkoxy radical                                          , ppb  ,  R                   ,           ,           ,          , cb99                , 
IOLE    , Internal olefin carbon bond (R-C=C-R)                             , ppb  ,  C 4 + R             ,           ,           ,          , cb99                , 
SULF    , Sulfuric acid (gaseous)                                           , ppb  ,  S + R               ,           ,           ,          , cb99                , 
HCO3    , Bicarbonate                                                       , ppb  ,  H + C + O 3         ,           ,           ,          , cb99                , 

#
# bias corrected tracers; ensure that these:
# - only property is 'biascorr', otherwise processes might be applied;
# - are listend in this file BEFORE the accumulated tracers to ensure that they
#   are included in the (1:nspec) range
#

